YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_006973978	410858038			
YP_995750	121607943			
YP_003954408	310822050	NC_014623	Stigmatella aurantiaca DW4/3-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Cystobacteraceae; Stigmatella.	STAUR_4803	complement(5866983..5868119)	"hypothetical protein"
YP_002129342	197103965	NC_011144	Phenylobacterium zucineum HLK1| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium.	PHZ_c0499	complement(523676..525961)	"TPR domain-containing protein"
NP_870867	32477873	NC_005027	Rhodopirellula baltica SH 1| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Rhodopirellula.	RB13107	7031391..7032119	"type IV fimbrial biogenesis protein PilF"
YP_007059327	427739783	NC_019678	Rivularia sp. PCC 7116| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Rivularia.	Riv7116_6450	8167624..8168307	"cytochrome c biogenesis factor"
YP_003472820	289547832	NC_013894	Thermocrinis albus DSM 14484| Bacteria; Aquificae; Aquificales; Aquificaceae; Thermocrinis.	Thal_0055	complement(53682..54161)	"hypothetical protein"
YP_004269173	325108105	NC_015174	Planctomyces brasiliensis DSM 5305| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Planctomyces.	Plabr_1540	1802485..1802811	"hypothetical protein"
YP_002801256	226946183	NC_012560	Azotobacter vinelandii DJ| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	Avin_41490	4183435..4184997	"hypothetical protein"
YP_008937609	568146135	NC_023065	Magnetospirillum gryphiswaldense MSR-1 v2| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Magnetospirillum.	MGMSR_1734	1830179..1831810	"conserved protein of unknown function, containing Tetratricopeptide repeat"
YP_008902346	608994254	NC_023035	Spirochaeta sp. L21-RPul-D2| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta.	L21SP2_1244	complement(1319664..1320779)	"TPR domain protein, putative component of TonB system"
YP_007588842	469816758	NC_020541	Rhodanobacter denitrificans| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Rhodanobacter.	R2APBS1_0436	496392..497480	"tetratricopeptide repeat protein"
YP_001883698	187918135	NC_010673	Borrelia hermsii HS1| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia.	BH0261	276511..277893	"tetratricopeptide repeat family protein"
YP_004088898	315500095	NC_014817	Asticcacaulis excentricus CB 48| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis.	Astex_3112	807018..810506	"tetratricopeptide repeat protein"
YP_004177271	320101680	NC_014962	Isosphaera pallida ATCC 43644| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Isosphaera.	Isop_0125	complement(190037..191383)	"hypothetical protein"
YP_007327571	436843193	NC_020055	Desulfovibrio hydrothermalis AM13 = DSM 14728| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DESAM_23205	3633692..3634780	"Response regulator receiver protein"
YP_006412966	390949207	NC_018012	Thiocystis violascens DSM 198| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocystis.	Thivi_0797	865317..867089	"sulfotransferase family protein"
YP_825296	116623140	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_4046	5133088..5134023	"hypothetical protein"
YP_005078632	374328448	NC_016642	Pseudovibrio sp. FO-BEG1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Pseudovibrio.	PSE_0098	complement(94176..95171)	"thioredoxin"
NP_541379	17988746	NC_003318	Brucella melitensis bv. 1 str. 16M| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	BMEII0401	420941..421930	"thioredoxin"
YP_079814	52081023	NC_006270	Bacillus licheniformis DSM 13 = ATCC 14580| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BL03719	complement(2570073..2571611)	"integral membrane protein GluP"
YP_007508410	459285305	NC_020450	Lactococcus lactis subsp. lactis IO-1| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus.	lilo_1085	1162767..1164023	"hypothetical protein"
YP_008631158	549704616	NC_022535	Rhizobium sp. IRBG74| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	BN877_I0210	217320..218144	"conserved hypothetical protein; putative signal peptide; TPR domain protein"
YP_002431325	218780007	NC_011768	Desulfatibacillum alkenivorans AK-01| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfatibacillum.	Dalk_2164	complement(2815777..2817708)	"hypothetical protein"
YP_005069693	479129733	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_J01030	3369294..3374375	"TPR domain protein"
YP_008177219	522591142	NC_021712	Alteromonas macleodii str. 'Ionian Sea U8'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	I634_15610	3547872..3549539	"hypothetical protein"
YP_001952243	189425066	NC_010814	Geobacter lovleyi SZ| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Glov_2007	complement(2136461..2137033)	"hypothetical protein"
YP_411606	82702040	NC_007614	Nitrosospira multiformis ATCC 25196| Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosospira.	Nmul_A0911	complement(1035715..1038342)	"hypothetical protein"
YP_007136318	428298012	NC_019751	Calothrix sp. PCC 6303| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal6303_1286	1497804..1500323	"hypothetical protein"
YP_002485625	220910314	NC_011884	Cyanothece sp. PCC 7425| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan7425_4966	complement(5051342..5051809)	"hypothetical protein"
YP_004086281	315497477	NC_014816	Asticcacaulis excentricus CB 48| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis.	Astex_0435	complement(454940..455773)	"hypothetical protein"
YP_273266	71734225	NC_005773	Pseudomonas syringae pv. phaseolicola 1448A| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSPPH_0995	complement(1187744..1189558)	"hypothetical protein"
YP_102262	53724807	NC_006348	Burkholderia mallei ATCC 23344| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BMA0453	477679..479559	"hypothetical protein"
YP_006566582	399986233	NC_018289	Mycobacterium smegmatis str. MC2 155| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	MSMEI_1815	1934402..1935424	"hypothetical protein"
YP_007321538	436836322	NC_020054	Fibrella aestuarina BUZ 2| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Fibrella.	FAES_2936	complement(3655284..3656093)	"TPR repeat-containing protein"
YP_004433745	332305894	NC_015497	Glaciecola sp. 4H-3-7+YE-5| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	Glaag_1521	complement(1754625..1756889)	"hypothetical protein"
YP_005274350	378709456	NC_016901	Shewanella baltica OS678| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Sbal678_3156	complement(3673075..3673863)	"type IV pilus biogenesis/stability protein PilW"
YP_002550796	222149839	NC_011989	Agrobacterium vitis S4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium.	Avi_3865	complement(3214167..3215678)	"TPR repeat protein"
YP_004182449	320106859	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_1644	1989208..1991349	"transcriptional regulator CadC"
YP_004179375	320103784	NC_014962	Isosphaera pallida ATCC 43644| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Isosphaera.	Isop_2248	3283498..3284358	"thioredoxin domain-containing protein"
YP_005220016	378962530	NC_016832	Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	STBHUCCB_46000	complement(4482437..4484407)	"Vi polysaccharide export protein vexE"
YP_001995986	193214787	NC_011026	Chloroherpeton thalassium ATCC 35110| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chloroherpeton.	Ctha_1075	1278645..1279811	"hypothetical protein"
YP_007495629	452853945	NC_020409	Desulfovibrio piezophilus C1TLV30| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	BN4_20416	3540887..3541765	"TPR repeat-containing protein"
YP_007039029	433606660	NC_019673	Saccharothrix espanaensis DSM 44229| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Saccharothrix.	BN6_48850	5459966..5462557	"hypothetical protein"
YP_004627532	337288060	NC_015682	Thermodesulfobacterium geofontis OPF15| Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium.	TOPB45_0502	507274..507717	"hypothetical protein"
YP_005046115	374295924	NC_016627	NA LOCUS       NC_016627            4897678 bp    DNA     circular CON 11-JUN-2013 DEFINITION  Clostridium clariflavum DSM 19732 chromosome, complete genome. ACCESSION   NC_016627 VERSION     NC_016627.1  GI:374294493 DBLINK      Project: 82345 BioProject: PRJNA82345 KEYWORDS    RefSeq. SOURCE      [Clostridium] clariflavum DSM 19732 ORGANISM  [Clostridium] clariflavum DSM 19732 Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium.	Clocl_1554	1788122..1789864	"tetratricopeptide repeat protein"
YP_007063949	427715955	NC_019682	Calothrix sp. PCC 7507| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal7507_0626	664221..667745	"hypothetical protein"
YP_006765426	410477789	NC_018649	Leptospirillum ferriphilum ML-04| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Leptospirillum.	LFML04_0221	209490..211649	"hypothetical protein"
YP_006909820	410657449	NC_018866	Dehalobacter sp. DCA| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Dehalobacter.	DHBDCA_p806	complement(845198..846346)	"hypothetical protein"
YP_003251649	261417967	NC_013411	Geobacillus sp. Y412MC61| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	GYMC61_0485	488873..490129	"hypothetical protein"
YP_002135756	197123805	NC_011145	Anaeromyxobacter sp. K| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	AnaeK_3414	3861517..3862341	"hypothetical protein"
YP_723463	113477402	NC_008312	Trichodesmium erythraeum IMS101| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Trichodesmium.	Tery_3965	complement(6131500..6132777)	"hypothetical protein"
YP_005488945	384056278	NC_017125	Acetobacter pasteurianus IFO 3283-22| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter.	APA22_04020	419645..421507	"hypothetical protein"
YP_593682	94971634	NC_008009	Candidatus Koribacter versatilis Ellin345| Bacteria; Acidobacteria; Candidatus Koribacter.	Acid345_4608	5457809..5462023	"hypothetical protein"
YP_589816	94967768	NC_008009	Candidatus Koribacter versatilis Ellin345| Bacteria; Acidobacteria; Candidatus Koribacter.	Acid345_0737	906271..906960	"hypothetical protein"
YP_004446486	332663698	NC_015510	Haliscomenobacter hydrossis DSM 1100| Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Saprospiraceae; Haliscomenobacter.	Halhy_1724	complement(2164922..2166574)	"hypothetical protein"
YP_008097237	512582252	NC_021491	Pseudomonas putida H8234| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	L483_27460	5818700..5819404	"hypothetical protein"
YP_001894237	187922595	NC_010681	Burkholderia phytofirmans PsJN| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	Bphyt_0588	complement(638386..640227)	"hypothetical protein"
YP_495548	87198291	NC_007794	Novosphingobium aromaticivorans DSM 12444| Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium.	Saro_0266	284887..285792	"thioredoxin"
YP_004184699	320109109	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_3956	4745797..4747659	"hypothetical protein"
YP_008662141	550446355	NC_022566	Klebsiella pneumoniae CG43| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Klebsiella.	D364_18335	complement(3815139..3816023)	"lipoprotein NlpI"
YP_004498444	333924864	NC_015565	Desulfotomaculum carboxydivorans CO-1-SRB| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum.	Desca_2715	complement(2856497..2857075)	"hypothetical protein"
YP_007101895	428217430	NC_019701	Pseudanabaena sp. PCC 7367| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Pseudanabaena.	Pse7367_1170	1491863..1493239	"family 2 glycosyl transferase"
YP_007217267	430761410	NC_019902	Thioalkalivibrio nitratireducens DSM 14787| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thioalkalivibrio.	TVNIR_2128	complement(2154272..2155228)	"TPR repeat protein"
YP_003431922	288817575	NC_013799	Hydrogenobacter thermophilus TK-6| Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobacter.	HTH_0254	257685..258164	"hypothetical protein"
YP_001790785	171058436	NC_010524	Leptothrix cholodnii SP-6| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Leptothrix.	Lcho_1753	complement(1873575..1876619)	"hypothetical protein"
YP_007492560	452850876	NC_020409	Desulfovibrio piezophilus C1TLV30| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	BN4_10169	170410..172137	"hypothetical protein"
YP_002366300	218235224	NC_011725	Bacillus cereus B4264| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BCB4264_A1575	1504327..1505589	"TPR domain-containing protein"
YP_003591949	295688256	NC_014100	Caulobacter segnis ATCC 21756| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter.	Cseg_0825	880201..882255	"hypothetical protein"
YP_001277071	148656866	NC_009523	Roseiflexus sp. RS-1| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Roseiflexineae; Roseiflexaceae; Roseiflexus.	RoseRS_2749	3425311..3427158	"hypothetical protein"
NP_952167	400756465	NC_002939	Geobacter sulfurreducens PCA| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GSU1114	1199771..1200514	"lipoprotein"
YP_005386495	383325642	NC_017039	Synechocystis sp. PCC 6803 substr. PCC-P| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNPCCP_1563	1715407..1715928	"hypothetical protein"
YP_003913616	308050050	NC_014541	Ferrimonas balearica DSM 9799| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Ferrimonadaceae; Ferrimonas.	Fbal_2340	complement(2609094..2610140)	"hypothetical protein"
YP_001906969	188533172	NC_010694	Erwinia tasmaniensis Et1/99| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Erwinia.	ETA_10260	1140411..1141142	"fimbrial biogenesis protein"
YP_008460646	532460994	NC_022116	Amycolatopsis mediterranei RB| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Amycolatopsis.	B737_4314	4787465..4790623	"hypothetical protein"
YP_007133229	434399225	NC_019748	Stanieria cyanosphaera PCC 7437| Bacteria; Cyanobacteria; Pleurocapsales; Stanieria.	Sta7437_2738	complement(3117011..3119689)	"glycosyl transferase family 8"
YP_006389985	395449732	NC_017986	Pseudomonas putida ND6| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	YSA_11247	6007090..6008145	"TPR repeat-containing protein"
YP_003456507	289166369	NC_013861	Legionella longbeachae NSW150| Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella.	LLO_3057	3553210..3554910	"protein with TPR motifs (protein-protein interaction motif)"
YP_001635279	163847235	NC_010175	Chloroflexus aurantiacus J-10-fl| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Caur_1672	2297132..2298694	"hypothetical protein"
YP_007150009	434407124	NC_019757	Cylindrospermum stagnale PCC 7417| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Cylindrospermum.	Cylst_5300	complement(5990991..5992085)	"hypothetical protein"
YP_006140358	386620778	NC_017644	Escherichia coli NA114| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	ECNA114_3244	complement(3325390..3326274)	"Lipoprotein nlpI"
YP_001723539	170018585	NC_010468	Escherichia coli ATCC 8739| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	EcolC_0535	579436..580320	"lipoprotein NlpI"
YP_001168665	146278506	NC_009428	Rhodobacter sphaeroides ATCC 17025| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	Rsph17025_2472	complement(2520212..2521912)	"TPR repeat-containing protein"
YP_425356	83591604	NC_007643	Rhodospirillum rubrum ATCC 11170| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum.	Rru_A0264	complement(327226..329025)	"TPR repeat-containing protein"
YP_001022655	124268651	NC_008825	Methylibium petroleiphilum PM1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Methylibium.	Mpe_A3467	3677154..3678761	"Flp pilus assembly protein TadD"
YP_006449428	392412821	NC_018025	Desulfomonile tiedjei DSM 6799| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Desulfomonile.	Desti_4536	5241752..5243026	"Flp pilus assembly protein TadD"
YP_001271367	148543997	NC_009513	Lactobacillus reuteri DSM 20016| Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	Lreu_0766	838647..839912	"hypothetical protein"
YP_004684239	339324546	NC_015726	Cupriavidus necator N-1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus.	CNE_1c03930	complement(385532..387490)	"hypothetical protein"
YP_001223729	148238342	NC_009481	Synechococcus sp. WH 7803| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	SynWH7803_0006	complement(8547..9443)	"secreted tetratricopeptide protein"
YP_771842	115345661	NC_008387	Roseobacter denitrificans OCh 114| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter.	RD1_B0025	27786..30185	"TPR repeat-containing protein"
YP_001530294	158522424	NC_009943	Desulfococcus oleovorans Hxd3| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfococcus.	Dole_2413	complement(2906556..2908337)	"hypothetical protein"
YP_007567119	470181244	NC_020521	Legionella pneumophila subsp. pneumophila LPE509| Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella.	LPE509_00576	complement(598001..599716)	"TPR domain protein"
YP_003775480	300311388	NC_014323	Herbaspirillum seropedicae SmR1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum.	Hsero_2072	complement(2332693..2334669)	"TPR repeat containing protein"
YP_002378172	218439843	NC_011729	Cyanothece sp. PCC 7424| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	PCC7424_2899	complement(3226841..3227650)	"hypothetical protein"
YP_006828208	407704623	NC_018693	Bacillus thuringiensis MC28| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	MC28_1387	1342657..1346859	"mechanosensitive ion channel"
YP_729362	113954451	NC_008319	Synechococcus sp. CC9311| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	sync_0125	132258..133067	"hypothetical protein"
YP_006653237	403519103	NC_018527	Burkholderia pseudomallei BPC006| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BPC006_I2459	2408024..2409238	"hypothetical protein"
YP_474781	86606018	NC_007775	Synechococcus sp. JA-3-3Ab| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	CYA_1342	1354567..1355088	"photosystem I assembly protein Ycf3"
YP_001247044	148268101	NC_009487	Staphylococcus aureus subsp. aureus JH9| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SaurJH9_1677	complement(1776747..1777415)	"hypothetical protein"
YP_007647853	471264999	NC_020814	Hydrogenobaculum sp. SN| Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum.	HydSN_1486	1375135..1376025	"hypothetical protein"
YP_001244585	148270125	NC_009486	Thermotoga petrophila RKU-1| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Tpet_0991	1020931..1022004	"TPR repeat-containing protein"
YP_001612254	162449887	NC_010162	Sorangium cellulosum So ce56| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	sce1616	complement(2211174..2215604)	"hypothetical protein"
YP_006421723	390957966	NC_018014	Terriglobus roseus DSM 18391| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	Terro_2116	complement(2507405..2508196)	"hypothetical protein"
YP_007499724	452943559	NC_020411	Hydrogenobaculum sp. HO| Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum.	HydHO_0345	complement(295596..296006)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_001442197	156979938	NC_009782	Staphylococcus aureus subsp. aureus Mu3| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SAHV_1607	complement(1729778..1730446)	"hypothetical protein"
YP_007892725	482895270	NC_021149	Azotobacter vinelandii CA| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	AvCA_17270	1709431..1710336	"hypothetical protein"
YP_004179895	320104304	NC_014962	Isosphaera pallida ATCC 43644| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Isosphaera.	Isop_2780	complement(4032800..4037293)	"serine/threonine protein kinase"
YP_006888648	409247956			
YP_005369308	383455319	NC_017030	Corallococcus coralloides DSM 2259| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus.	COCOR_03333	4107725..4108867	"hypothetical protein"
YP_002603662	224369498	NC_012108	Desulfobacterium autotrophicum HRM2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacterium.	HRM2_24030	complement(2740809..2742674)	"TPR repeat protein"
YP_004527878	333995265	NC_015577	Treponema azotonutricium ZAS-9| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TREAZ_3599	2568557..2572069	"hypothetical protein"
YP_007131826	434397822	NC_019748	Stanieria cyanosphaera PCC 7437| Bacteria; Cyanobacteria; Pleurocapsales; Stanieria.	Sta7437_1290	complement(1438107..1441295)	"serine/threonine protein kinase"
YP_002220715	198284394	NC_011206	Acidithiobacillus ferrooxidans ATCC 53993| Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus.	Lferr_2307	complement(2279805..2281766)	"hypothetical protein"
YP_005037712	374290677	NC_016622	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_0024	23839..25497	"hypothetical protein"
YP_008674270	550917678	NC_022571	Clostridium saccharobutylicum DSM 13864| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	CLSA_c12300	1392172..1393272	"tetratricopeptide TPR_2 repeat protein"
YP_103143	53723691	NC_006348	Burkholderia mallei ATCC 23344| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BMA1499	1557152..1558366	"hypothetical protein"
NP_953522	39997571	NC_002939	Geobacter sulfurreducens PCA| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GSU2476	2715274..2716974	"hypothetical protein"
YP_006441951	392405339	NC_018020	Turneriella parva DSM 21527| Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Turneriella.	Turpa_3811	complement(3974296..3975162)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_005513113	384130501	NC_017162	Acinetobacter baumannii 1656-2| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	ABK1_0541	592675..593451	"PilF"
YP_001042313	126461199	NC_009049	Rhodobacter sphaeroides ATCC 17029| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	Rsph17029_0425	440129..441829	"hypothetical protein"
YP_008651334	549489641	NC_022546	Plautia stali symbiont| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae.	E05_21190	complement(1701871..1702614)	"cellulose synthase 1"
YP_001217445	147675765	NC_009457	Vibrio cholerae O395| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VC0395_A1502	complement(1614749..1615918)	"hypothetical protein"
YP_002721817	225620560	NC_012225	Brachyspira hyodysenteriae WA1| Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	BHWA1_01643	complement(1895523..1896296)	"TPR domain-containing protein"
YP_672684	110632476	NC_008254	Chelativorans sp. BNC1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Chelativorans.	Meso_0114	141656..142411	"hypothetical protein"
