NCBI_Genome_RefSeq_ID	Species Name
NC_020055	Desulfovibrio hydrothermalis AM13 = DSM 14728
NC_012796	Desulfovibrio magneticus RS-1
NC_020409	Desulfovibrio piezophilus
NC_012881	Desulfovibrio salexigens DSM 2638
NC_002937	Desulfovibrio vulgaris str. Hildenborough
NC_014836	Desulfurispirillum indicum S5
NC_014216	Desulfurivibrio alkaliphilus AHT2
NC_015185	Desulfurobacterium thermolithotrophum DSM 11699
NC_018001	Desulfurococcus fermentans DSM 16532
NC_011766	Desulfurococcus kamchatkensis 1221n
NC_014961	Desulfurococcus mucosus DSM 2162
NC_009446	Dichelobacter nodosus VCS1703A
NC_014500	Dickeya dadantii 3937
NC_013592	Dickeya dadantii Ech586
NC_012880	Dickeya dadantii Ech703
NC_012912	Dickeya zeae Ech1591
NC_011297	Dictyoglomus thermophilum H-6-12
NC_011661	Dictyoglomus turgidum DSM 6724
NC_009952	Dinoroseobacter shibae DFL 12 = DSM 16493
NC_013037	Dyadobacter fermentans DSM 18053
NC_019904	Echinicola vietnamensis DSM 17526
NC_012779	Edwardsiella ictaluri 93-146
NC_020796	Edwardsiella piscicida C07-087
NC_013508	Edwardsiella tarda EIB202
NC_017309	Edwardsiella tarda FL6-60
NC_013204	Eggerthella lenta DSM 2243
NC_015738	Eggerthella sp. YY7918
NC_007354	Ehrlichia canis str. Jake
NC_007799	Ehrlichia chaffeensis str. Arkansas
NC_023063	Ehrlichia muris AS145
NC_005295	Ehrlichia ruminantium str. Welgevonden
NC_010644	Elusimicrobium minutum Pei191
NC_018748	Emticicia oligotrophica DSM 17448
NC_020181	Enterobacter aerogenes EA1509E
NC_015663	Enterobacter aerogenes KCTC 2190
NC_015968	Enterobacter asburiae LF7a
NC_016514	Enterobacter cloacae EcWSU1
NC_014121	Enterobacter cloacae subsp. cloacae ATCC 13047
NC_018405	Enterobacter cloacae subsp. cloacae ENHKU01
NC_021046	Enterobacter cloacae subsp. cloacae NCTC 9394
NC_018079	Enterobacter cloacae subsp. dissolvens SDM
NC_014618	Enterobacter lignolyticus SCF1
NC_009436	Enterobacter sp. 638
NC_021500	Enterobacter sp. R4-368
NC_020063	Enterobacteriaceae bacterium strain FGI 57
NC_004668	Enterococcus faecalis V583
NC_017960	Enterococcus faecium DO
NC_018081	Enterococcus hirae ATCC 9790
NC_022878	Enterococcus mundtii QU 25
NC_021023	Enterococcus sp. 7L76
NC_013971	Erwinia amylovora ATCC 49946
NC_013961	Erwinia amylovora CFBP1430
NC_014306	Erwinia billingiae Eb661
NC_017390	Erwinia pyrifoliae DSM 12163
NC_012214	Erwinia pyrifoliae Ep1/96
NC_017445	Erwinia sp. Ejp617
NC_010694	Erwinia tasmaniensis Et1/99
NC_015601	Erysipelothrix rhusiopathiae
NC_007722	Erythrobacter litoralis HTCC2594
NC_012947	Escherichia coli 'BL21-Gold(DE3)pLysS AG'
NC_017626	Escherichia coli 042
NC_008253	Escherichia coli 536
NC_011748	Escherichia coli 55989
NC_017631	Escherichia coli ABU 83972
NC_008563	Escherichia coli APEC O1
NC_020163	Escherichia coli APEC O78
NC_010468	Escherichia coli ATCC 8739
NC_012967	Escherichia coli B str. REL606
NC_012971	Escherichia coli BL21(DE3)
NC_012892	Escherichia coli BL21(DE3)
NC_012759	Escherichia coli BW2952
NC_004431	Escherichia coli CFT073
NC_017638	Escherichia coli DH1
NC_017625	Escherichia coli DH1
NC_009801	Escherichia coli E24377A
NC_011745	Escherichia coli ED1a
NC_017633	Escherichia coli ETEC H10407
NC_009800	Escherichia coli HS
NC_011741	Escherichia coli IAI1
NC_011750	Escherichia coli IAI39
NC_017628	Escherichia coli IHE3034
NC_022648	Escherichia coli JJ1886
NC_017660	Escherichia coli KO11FL
NC_016902	Escherichia coli KO11FL
NC_011993	Escherichia coli LF82
NC_022364	Escherichia coli LY180
NC_017644	Escherichia coli NA114
NC_013353	Escherichia coli O103:H2 str. 12009
NC_018650	Escherichia coli O104:H4 str. 2009EL-2050
NC_018661	Escherichia coli O104:H4 str. 2009EL-2071
NC_018658	Escherichia coli O104:H4 str. 2011C-3493
NC_013364	Escherichia coli O111:H- str. 11128
NC_011601	Escherichia coli O127:H6 str. E2348/69
NC_011353	Escherichia coli O157:H7 str. EC4115
NC_002655	Escherichia coli O157:H7 str. EDL933
NC_002695	Escherichia coli O157:H7 str. Sakai
NC_013008	Escherichia coli O157:H7 str. TW14359
NC_013361	Escherichia coli O26:H11 str. 11368
NC_013941	Escherichia coli O55:H7 str. CB9615
NC_017656	Escherichia coli O55:H7 str. RM12579
NC_017646	Escherichia coli O7:K1 str. CE10
NC_017634	Escherichia coli O83:H1 str. NRG 857C
NC_017663	Escherichia coli P12b
NC_022370	Escherichia coli PMV-1
NC_011742	Escherichia coli S88
NC_011415	Escherichia coli SE11
NC_013654	Escherichia coli SE15
NC_010498	Escherichia coli SMS-3-5
NC_017632	Escherichia coli UM146
NC_011751	Escherichia coli UMN026
NC_017641	Escherichia coli UMNK88
NC_007946	Escherichia coli UTI89
NC_017635	Escherichia coli W
NC_017664	Escherichia coli W
NC_017906	Escherichia coli Xuzhou21
NC_017652	Escherichia coli str. 'clone D i14'
NC_017651	Escherichia coli str. 'clone D i2'
NC_010473	Escherichia coli str. K-12 substr. DH10B
NC_020518	Escherichia coli str. K-12 substr. MDS42
NC_000913	Escherichia coli str. K-12 substr. MG1655
NC_007779	Escherichia coli str. K-12 substr. W3110
NC_011740	Escherichia fergusonii ATCC 35469
NC_014828	Ethanoligenens harbinense YUAN-3
NC_012778	Eubacterium eligens ATCC 27750
NC_014624	Eubacterium limosum KIST612
NC_012781	Eubacterium rectale ATCC 33656
NC_021043	Eubacterium siraeum V10Sc8a
NC_018665	Exiguobacterium antarcticum B7
NC_010556	Exiguobacterium sibiricum 255-15
NC_012673	Exiguobacterium sp. AT1b
NC_022794	Exiguobacterium sp. MH3
NC_021042	Faecalibacterium prausnitzii L2-6
NC_014541	Ferrimonas balearica DSM 9799
NC_013849	Ferroglobus placidus DSM 10642
NC_021592	Ferroplasma acidarmanus fer1
NC_017461	Fervidicoccus fontis Kam940
NC_009718	Fervidobacterium nodosum Rt17-B1
NC_017095	Fervidobacterium pennivorans DSM 9078
NC_020054	Fibrella aestuarina
NC_013410	Fibrobacter succinogenes subsp. succinogenes S85
NC_016630	Filifactor alocis ATCC 35896
NC_010376	Finegoldia magna ATCC 29328
NC_013062	Flavobacteriaceae bacterium 3519-10
NC_016001	Flavobacterium branchiophilum FL-15
NC_016510	Flavobacterium columnare ATCC 49512
NC_017025	Flavobacterium indicum GPTSA100-9
NC_009441	Flavobacterium johnsoniae UW101
NC_009613	Flavobacterium psychrophilum JIP02/86
NC_018018	Flexibacter litoralis DSM 6794
NC_015672	Flexistipes sinusarabici DSM 4947
NC_015321	Fluviicola taffensis DSM 16823
NC_017909	Francisella noatunensis subsp. orientalis str. Toba 04
NC_008601	Francisella novicida U112
NC_010336	Francisella philomiragia subsp. philomiragia ATCC 25017
NC_015696	Francisella sp. TX077308
NC_006570	Francisella tularensis subsp. tularensis SCHU S4
NC_008278	Frankia alni ACN14a
NC_007777	Frankia sp. CcI3
NC_009921	Frankia sp. EAN1pec
NC_014666	Frankia sp. EuI1c
NC_015656	Frankia symbiont of Datisca glomerata
NC_017033	Frateuria aurantia DSM 6220
NC_021038	Fretibacterium fastidiosum
NC_021281	Fusobacterium nucleatum subsp. animalis 4_8
NC_003454	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
NC_022196	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
NC_015460	Gallibacterium anatis UMN179
NC_014394	Gallionella capsiferriformans ES-2
NC_013721	Gardnerella vaginalis 409-05
NC_019703	Geitlerinema sp. PCC 7407
NC_012489	Gemmatimonas aurantiaca T-27
NC_006510	Geobacillus kaustophilus HTA426
NC_014206	Geobacillus sp. C56-T3
NC_012793	Geobacillus sp. WCH70
NC_014650	Geobacillus sp. Y4.1MC1
NC_014915	Geobacillus sp. Y412MC52
NC_013411	Geobacillus sp. Y412MC61
NC_009328	Geobacillus thermodenitrificans NG80-2
NC_015660	Geobacillus thermoglucosidasius C56-YS93
NC_016593	Geobacillus thermoleovorans CCB_US3_UF5
NC_011146	Geobacter bemidjiensis Bem
NC_011979	Geobacter daltonii FRC-32
NC_010814	Geobacter lovleyi SZ
NC_007517	Geobacter metallireducens GS-15
NC_014973	Geobacter sp. M18
NC_012918	Geobacter sp. M21
NC_002939	Geobacter sulfurreducens PCA
NC_009483	Geobacter uraniireducens Rf4
NC_013757	Geodermatophilus obscurus DSM 43160
NC_016041	Glaciecola nitratireducens FR1064
NC_020514	Glaciecola psychrophila 170
NC_015497	Glaciecola sp. 4H-3-7+YE-5
NC_022600	Gloeobacter kilaueensis JS1
NC_005125	Gloeobacter violaceus PCC 7421
NC_019745	Gloeocapsa sp. PCC 7428
NC_011365	Gluconacetobacter diazotrophicus PAl 5
NC_016027	Gluconacetobacter medellinensis NBRC 3288
NC_006677	Gluconobacter oxydans 621H
NC_013441	Gordonia bronchialis DSM 43247
NC_016906	Gordonia polyisoprenivorans VH2
NC_018581	Gordonia sp. KTR9
NC_021021	Gordonibacter pamelaeae 7-10-1-b
NC_008571	Gramella forsetii KT0803
NC_008343	Granulibacter bethesdensis CGDNIH1
NC_016631	Granulicella mallensis MP5ACTX8
NC_015064	Granulicella tundricola
NC_002940	Haemophilus ducreyi 35000HP
NC_000907	Haemophilus influenzae Rd KW20
NC_015964	Haemophilus parainfluenzae T3T1
NC_011852	Haemophilus parasuis SH0165
NC_008309	Haemophilus somnus 129PT
NC_007645	Hahella chejuensis KCTC 2396
NC_014297	Halalkalicoccus jeotgali B3
NC_014654	Halanaerobium hydrogeniformans
NC_017455	Halanaerobium praevalens DSM 2228
NC_013440	Haliangium ochraceum DSM 14365
NC_015510	Haliscomenobacter hydrossis DSM 1100
NC_017668	Halobacillus halophilus DSM 2266
NC_002607	Halobacterium sp. NRC-1
NC_019978	Halobacteroides halobius DSM 5150
NC_017941	Haloferax mediterranei ATCC 33500
NC_013967	Haloferax volcanii DS2
NC_014729	Halogeometricum borinquense DSM 11551
NC_013202	Halomicrobium mukohataei DSM 12286
NC_014532	Halomonas elongata DSM 2581
NC_015666	Halopiger xanaduensis SH-6
NC_008212	Haloquadratum walsbyi DSM 16790
NC_013158	Halorhabdus utahensis DSM 12940
NC_008789	Halorhodospira halophila SL1
NC_013743	Haloterrigena turkmenica DSM 5511
NC_019779	Halothece sp. PCC 7418
NC_011899	Halothermothrix orenii H 168
NC_013422	Halothiobacillus neapolitanus c2
NC_019964	Halovivax ruber XH-70
NC_008229	Helicobacter acinonychis str. Sheeba
NC_015674	Helicobacter bizzozeronii CIII-1
NC_017735	Helicobacter cetorum MIT 99-5656
NC_017761	Helicobacter cinaedi PAGU611
NC_014810	Helicobacter felis ATCC 49179
NC_004917	Helicobacter hepaticus ATCC 51449
NC_013949	Helicobacter mustelae 12198
NC_000915	Helicobacter pylori 26695
NC_010337	Heliobacterium modesticaldum Ice1
NC_014323	Herbaspirillum seropedicae SmR1
NC_009138	Herminiimonas arsenicoxydans
NC_009972	Herpetosiphon aurantiacus DSM 785
NC_015318	Hippea maritima DSM 10411
NC_012982	Hirschia baltica ATCC 49814
NC_013799	Hydrogenobacter thermophilus TK-6
NC_011126	Hydrogenobaculum sp. Y04AAS1
NC_008818	Hyperthermus butylicus DSM 5456
NC_014313	Hyphomicrobium denitrificans ATCC 51888
NC_022997	Hyphomicrobium nitrativorans NL23
NC_015717	Hyphomicrobium sp.
NC_008358	Hyphomonas neptunium ATCC 15444
NC_006512	Idiomarina loihiensis L2TR
NC_017464	Ignavibacterium album JCM 16511
NC_009776	Ignicoccus hospitalis KIN4/I
NC_014471	Ignisphaera aggregans DSM 17230
NC_020520	Ilumatobacter coccineus
NC_014632	Ilyobacter polytropus DSM 2926
NC_014830	Intrasporangium calvum DSM 43043
NC_015588	Isoptericola variabilis 225
NC_014962	Isosphaera pallida ATCC 43644
NC_007802	Jannaschia sp. CCS1
NC_009659	Janthinobacterium sp. Marseille
NC_013174	Jonesia denitrificans DSM 20603
NC_013166	Kangiella koreensis DSM 16069
NC_017384	Ketogulonicigenium vulgare WSH-001
NC_014625	Ketogulonicigenium vulgare Y25
NC_009664	Kineococcus radiotolerans SRS30216 = ATCC BAA-149
NC_016109	Kitasatospora setae KM-6054
NC_018106	Klebsiella oxytoca E718
NC_016612	Klebsiella oxytoca KCTC 1686
NC_021232	Klebsiella pneumoniae
NC_011283	Klebsiella pneumoniae 342
NC_022566	Klebsiella pneumoniae CG43
NC_022082	Klebsiella pneumoniae JM45
NC_017540	Klebsiella pneumoniae KCTC 2242
NC_018522	Klebsiella pneumoniae subsp. pneumoniae 1084
NC_016845	Klebsiella pneumoniae subsp. pneumoniae HS11286
NC_009648	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
NC_012731	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
NC_013850	Klebsiella variicola At-22
NC_010617	Kocuria rhizophila DC2201
NC_012785	Kosmotoga olearia TBF 19.5.1
NC_013729	Kribbella flavida DSM 17836
NC_015496	Krokinobacter sp. 4H-3-7-5
NC_014098	Kyrpidia tusciae DSM 2912
NC_013169	Kytococcus sedentarius DSM 20547
NC_015638	Lacinutrix sp. 5H-3-7-4
NC_015214	Lactobacillus acidophilus 30SC
NC_021181	Lactobacillus acidophilus La-14
NC_006814	Lactobacillus acidophilus NCFM
NC_014724	Lactobacillus amylovorus GRL 1112
NC_017470	Lactobacillus amylovorus GRL1118
NC_008497	Lactobacillus brevis ATCC 367
NC_015428	Lactobacillus buchneri NRRL B-30929
NC_008526	Lactobacillus casei ATCC 334
NC_014106	Lactobacillus crispatus ST1
NC_008054	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
NC_010610	Lactobacillus fermentum IFO 3956
NC_008530	Lactobacillus gasseri ATCC 33323
NC_010080	Lactobacillus helveticus DPC 4571
NC_018528	Lactobacillus helveticus R0052
NC_017477	Lactobacillus johnsonii DPC 6026
NC_022909	Lactobacillus johnsonii N6.2
NC_005362	Lactobacillus johnsonii NCC 533
NC_015602	Lactobacillus kefiranofaciens ZW3
NC_021517	Lactobacillus plantarum 16
NC_004567	Lactobacillus plantarum WCFS1
NC_009513	Lactobacillus reuteri DSM 20016
NC_021494	Lactobacillus reuteri I5007
NC_010609	Lactobacillus reuteri JCM 1112
NC_015697	Lactobacillus reuteri SD2112
NC_021872	Lactobacillus reuteri TD1
NC_013198	Lactobacillus rhamnosus GG
NC_015975	Lactobacillus ruminis ATCC 27782
NC_007576	Lactobacillus sakei subsp. sakei 23K
NC_007929	Lactobacillus salivarius UCC118
NC_015978	Lactobacillus sanfranciscensis TMW 1.1304
NC_015930	Lactococcus garvieae ATCC 49156
NC_022369	Lactococcus lactis subsp. cremoris KW2
NC_009004	Lactococcus lactis subsp. cremoris MG1363
NC_017949	Lactococcus lactis subsp. cremoris NZ9000
NC_017486	Lactococcus lactis subsp. lactis CV56
NC_020450	Lactococcus lactis subsp. lactis IO-1
NC_002662	Lactococcus lactis subsp. lactis Il1403
NC_013656	Lactococcus lactis subsp. lactis KF147
NC_022593	Lactococcus lactis subsp. lactis KLDS 4.0325
NC_012559	Laribacter hongkongensis HLHK9
NC_008011	Lawsonia intracellularis PHE/MN1-00
NC_014655	Leadbetterella byssophila DSM 17132
NC_013861	Legionella longbeachae NSW150
NC_002942	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
NC_006087	Leifsonia xyli subsp. xyli str. CTCB07
NC_023135	Leisingera methylohalidivorans DSM 14336
NC_018649	Leptospirillum ferriphilum ML-04
NC_017094	Leptospirillum ferrooxidans C2-3
NC_010524	Leptothrix cholodnii SP-6
NC_013192	Leptotrichia buccalis C-1013-b
NC_018673	Leuconostoc carnosum JB16
NC_010471	Leuconostoc citreum KM20
NC_014319	Leuconostoc gasicomitatum LMG 18811
NC_018631	Leuconostoc gelidum JB7
NC_014136	Leuconostoc kimchii IMSNU 11154
NC_008531	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
NC_016805	Leuconostoc mesenteroides subsp. mesenteroides J18
NC_015734	Leuconostoc sp. C2
NC_019907	Liberibacter crescens BT-1
NC_003212	Listeria innocua Clip11262
NC_016011	Listeria ivanovii
NC_003210	Listeria monocytogenes EGD-e
NC_013891	Listeria seeligeri serovar 1/2b str. SLCC3954
NC_008555	Listeria welshimeri serovar 6b str. SLCC5334
NC_010382	Lysinibacillus sphaericus C3-41
NC_011999	Macrococcus caseolyticus JCSC5402
NC_008576	Magnetococcus marinus MC-1
NC_007626	Magnetospirillum magneticum AMB-1
NC_015520	Mahella australiensis 50-1 BON
NC_020834	Mannheimia haemolytica USDA-ARS-USMARC-185
NC_006300	Mannheimia succiniciproducens MBEL55E
NC_014472	Maribacter sp. HTCC2170
NC_008347	Maricaulis maris MCS10
NC_015387	Marinithermus hydrothermalis DSM 14884
NC_016751	Marinitoga piezophila KA3
NC_017506	Marinobacter adhaerens HP15
NC_008740	Marinobacter aquaeolei VT8
NC_017067	Marinobacter hydrocarbonoclasticus ATCC 49840
NC_018268	Marinobacter sp. BSs20148
NC_015276	Marinomonas mediterranea MMB-1
NC_015559	Marinomonas posidonica IVIA-Po-181
NC_009654	Marinomonas sp. MWYL1
NC_014759	Marivirga tractuosa DSM 4126
NC_021041	Megamonas hypermegale
NC_015873	Megasphaera elsdenii
NC_021081	Meiothermus ruber DSM 1279
NC_013946	Meiothermus ruber DSM 1279
NC_014212	Meiothermus silvanus DSM 9946
NC_018178	Melioribacter roseus P3M-2
NC_016938	Melissococcus plutonius
NC_015516	Melissococcus plutonius ATCC 35311
NC_006055	Mesoplasma florum L1
NC_019973	Mesorhizobium australicum WSM2073
NC_014923	Mesorhizobium ciceri biovar biserrulae WSM1271
NC_002678	Mesorhizobium loti MAFF303099
NC_015675	Mesorhizobium opportunistum WSM2075
NC_017934	Mesotoga prima MesG1.Ag.4.2
NC_015435	Metallosphaera cuprina Ar-4
NC_009440	Metallosphaera sedula DSM 5348
NC_015216	Methanobacterium sp. AL-21
NC_015574	Methanobacterium sp. SWAN-1
NC_013790	Methanobrevibacter ruminantium M1
NC_009515	Methanobrevibacter smithii ATCC 35061
NC_021355	Methanobrevibacter sp. AbM4
NC_013156	Methanocaldococcus fervens AG86
NC_014122	Methanocaldococcus infernus ME
NC_000909	Methanocaldococcus jannaschii DSM 2661
NC_013887	Methanocaldococcus sp. FS406-22
NC_013407	Methanocaldococcus vulcanius M7
NC_009464	Methanocella arvoryzae MRE50
NC_017034	Methanocella conradii HZ254
NC_013665	Methanocella paludicola SANAE
NC_007955	Methanococcoides burtonii DSM 6242
NC_009635	Methanococcus aeolicus Nankai-3
NC_005791	Methanococcus maripaludis S2
NC_009634	Methanococcus vannielii SB
NC_014222	Methanococcus voltae A3
NC_008942	Methanocorpusculum labreanum Z
NC_009051	Methanoculleus marisnigri JR1
NC_014253	Methanohalobium evestigatum Z-7303
NC_014002	Methanohalophilus mahii DSM 5219
NC_018876	Methanolobus psychrophilus R15
NC_019977	Methanomethylovorans hollandica DSM 15978
NC_014507	Methanoplanus petrolearius DSM 11571
NC_003551	Methanopyrus kandleri AV19
NC_009712	Methanoregula boonei 6A8
NC_019943	Methanoregula formicica SMSP
NC_015416	Methanosaeta concilii GP6
NC_017527	Methanosaeta harundinacea 6Ac
NC_008553	Methanosaeta thermophila PT
NC_015676	Methanosalsum zhilinae DSM 4017
NC_003552	Methanosarcina acetivorans C2A
NC_007355	Methanosarcina barkeri str. Fusaro
NC_003901	Methanosarcina mazei Go1
NC_007681	Methanosphaera stadtmanae DSM 3091
NC_011832	Methanosphaerula palustris E1-9c
NC_007796	Methanospirillum hungatei JF-1
NC_014408	Methanothermobacter marburgensis str. Marburg
NC_000916	Methanothermobacter thermautotrophicus str. Delta H
NC_015636	Methanothermococcus okinawensis IH1
NC_014658	Methanothermus fervidus DSM 2088
NC_015562	Methanotorris igneus Kol 5
NC_010794	Methylacidiphilum infernorum V4
NC_008825	Methylibium petroleiphilum PM1
NC_007947	Methylobacillus flagellatus KT
NC_012808	Methylobacterium extorquens AM1
NC_011757	Methylobacterium extorquens CM4
NC_012988	Methylobacterium extorquens DM4
NC_010172	Methylobacterium extorquens PA1
NC_011894	Methylobacterium nodulans ORS 2060
NC_010725	Methylobacterium populi BJ001
NC_010505	Methylobacterium radiotolerans JCM 2831
NC_010511	Methylobacterium sp. 4-46
NC_011666	Methylocella silvestris BL2
NC_002977	Methylococcus capsulatus str. Bath
NC_018485	Methylocystis sp. SC2
NC_016112	Methylomicrobium alcaliphilum
NC_015572	Methylomonas methanica MC09
NC_017857	Methylophaga nitratireducenticrescens
NC_012968	Methylotenera mobilis JLW8
NC_014207	Methylotenera versatilis 301
NC_012969	Methylovorus glucosetrophus SIP3-4
NC_014733	Methylovorus sp. MP688
NC_016026	Micavibrio aeruginosavorus ARL-13
NC_015125	Microbacterium testaceum StLB037
NC_012803	Micrococcus luteus NCTC 2665
NC_019738	Microcoleus sp. PCC 7113
NC_019760	Microcoleus sp. PCC 7113
NC_010296	Microcystis aeruginosa NIES-843
NC_015635	Microlunatus phosphovorus NM-1
NC_014391	Micromonospora aurantiaca ATCC 27029
NC_014815	Micromonospora sp. L5
NC_014246	Mobiluncus curtisii ATCC 43063
NC_017955	Modestobacter marinus BC501
NC_007644	Moorella thermoacetica ATCC 39073
NC_014147	Moraxella catarrhalis RH4
NC_015945	Muricauda ruestringensis DSM 13258
NC_015758	Mycobacterium africanum GM041182
NC_002944	Mycobacterium avium subsp. paratuberculosis K-10
NC_002945	Mycobacterium bovis AF2122/97
NC_015848	Mycobacterium canettii CIPT 140010059
NC_018027	Mycobacterium chubuense NBB4
NC_009338	Mycobacterium gilvum PYR-GCK
NC_014814	Mycobacterium gilvum Spyr1
NC_018612	Mycobacterium indicus pranii MTCC 9506
NC_016948	Mycobacterium intracellulare MOTT-64
NC_022663	Mycobacterium kansasii ATCC 12478
NC_002677	Mycobacterium leprae TN
NC_020133	Mycobacterium liflandii 128FXT
NC_010612	Mycobacterium marinum M
NC_016604	Mycobacterium rhodesiae NBB3
NC_008596	Mycobacterium smegmatis str. MC2 155
NC_018289	Mycobacterium smegmatis str. MC2 155
NC_015576	Mycobacterium sp. JDM601
NC_009077	Mycobacterium sp. JLS
NC_008705	Mycobacterium sp. KMS
NC_008146	Mycobacterium sp. MCS
NC_000962	Mycobacterium tuberculosis H37Rv
NC_008611	Mycobacterium ulcerans Agy99
NC_008726	Mycobacterium vanbaalenii PYR-1
NC_021715	Mycobacterium yongonense 05-1390
NC_009497	Mycoplasma agalactiae PG2
NC_011025	Mycoplasma arthritidis 158L3-1
NC_014760	Mycoplasma bovis PG45
NC_007633	Mycoplasma capricolum subsp. capricolum ATCC 27343
NC_012806	Mycoplasma conjunctivae HRC/581
NC_014014	Mycoplasma crocodyli MP145
NC_019949	Mycoplasma cynos C142
NC_014552	Mycoplasma fermentans JER
NC_004829	Mycoplasma gallisepticum str. R(low)
NC_000908	Mycoplasma genitalium G37
NC_016638	Mycoplasma haemocanis str. Illinois
NC_014970	Mycoplasma haemofelis str. Langford 1
NC_013511	Mycoplasma hominis
NC_006360	Mycoplasma hyopneumoniae 232
NC_014448	Mycoplasma hyorhinis HUB-1
NC_014751	Mycoplasma leachii PG50
NC_006908	Mycoplasma mobile 163K
NC_005364	Mycoplasma mycoides subsp. mycoides SC str. PG1
NC_023062	Mycoplasma ovis str. Michigan
NC_022575	Mycoplasma parvum str. Indiana
NC_004432	Mycoplasma penetrans HF-2
NC_000912	Mycoplasma pneumoniae M129
NC_002771	Mycoplasma pulmonis UAB CTIP
NC_015946	Mycoplasma putrefaciens KS1
NC_015155	Mycoplasma suis str. Illinois
NC_007294	Mycoplasma synoviae 53
NC_018149	Mycoplasma wenyonii str. Massachusetts
NC_015711	Myxococcus fulvus HW-1
NC_020126	Myxococcus stipitatus DSM 14675
NC_008095	Myxococcus xanthus DK 1622
NC_013235	Nakamurella multipartita DSM 44233
NC_005213	Nanoarchaeum equitans Kin4-M
NC_010718	Natranaerobius thermophilus JW/NM-WN-LF
NC_013922	Natrialba magadii ATCC 43099
NC_019962	Natrinema pellirubrum DSM 15624
NC_019792	Natronobacterium gregoryi SP2
NC_019974	Natronococcus occultus SP4
NC_020388	Natronomonas moolapensis 8.8.11
NC_007426	Natronomonas pharaonis DSM 2160
NC_012115	Nautilia profundicola AmH
NC_002946	Neisseria gonorrhoeae FA 1090
NC_014752	Neisseria lactamica 020-06
NC_003112	Neisseria meningitidis MC58
NC_013009	Neorickettsia risticii str. Illinois
NC_007798	Neorickettsia sennetsu str. Miyayama
NC_016609	Niastella koreensis GR20-10
NC_014935	Nitratifractor salsuginis DSM 16511
NC_009662	Nitratiruptor sp. SB155-2
NC_007964	Nitrobacter hamburgensis X14
NC_007406	Nitrobacter winogradskyi Nb-255
NC_013960	Nitrosococcus halophilus Nc 4
NC_007484	Nitrosococcus oceani ATCC 19707
NC_014315	Nitrosococcus watsonii C-113
NC_004757	Nitrosomonas europaea ATCC 19718
NC_008344	Nitrosomonas eutropha C91
NC_015222	Nitrosomonas sp. AL212
NC_015731	Nitrosomonas sp. Is79A3
NC_010085	Nitrosopumilus maritimus SCM1
NC_007614	Nitrosospira multiformis ATCC 25196
NC_018681	Nocardia brasiliensis ATCC 700358
NC_016887	Nocardia cyriacigeorgica
NC_006361	Nocardia farcinica IFM 10152
NC_008699	Nocardioides sp. JS614
NC_018524	Nocardiopsis alba ATCC BAA-2165
NC_020156	Nonlabens dokdonensis DSW-6
NC_010628	Nostoc punctiforme PCC 73102
NC_003272	Nostoc sp. PCC 7120
NC_007794	Novosphingobium aromaticivorans DSM 12444
NC_015580	Novosphingobium sp. PP1Y
NC_015579	Novosphingobium sp. PP1Y
NC_016745	Oceanimonas sp. GK1
NC_014761	Oceanithermus profundus DSM 14977
NC_004193	Oceanobacillus iheyensis HTE831
NC_020911	Octadecabacter antarcticus 307
NC_020908	Octadecabacter arcticus 238
NC_015160	Odoribacter splanchnicus DSM 220712
NC_008528	Oenococcus oeni PSU-1
NC_011386	Oligotropha carboxidovorans OM5
NC_014363	Olsenella uli DSM 7084
NC_005303	Onion yellows phytoplasma OY-M
NC_010571	Opitutus terrae PB90-1
NC_009488	Orientia tsutsugamushi str. Boryong
NC_019693	Oscillatoria acuminata PCC 6304
NC_019729	Oscillatoria nigro-viridis PCC 7112
NC_016048	Oscillibacter valericigenes
NC_016599	Owenweeksia hongkongensis DSM 17368
NC_016935	Paenibacillus mucilaginosus 3016
NC_017672	Paenibacillus mucilaginosus K02
NC_015690	Paenibacillus mucilaginosus KNP414
NC_014483	Paenibacillus polymyxa E681
NC_012914	Paenibacillus sp. JDR-2
NC_013406	Paenibacillus sp. Y412MC10
NC_016641	Paenibacillus terrae HPL-003
NC_014734	Paludibacter propionicigenes WB4
NC_022904	Pandoraea pnomenusa 3kgm
NC_023018	Pandoraea sp. RB-44
NC_017531	Pantoea ananatis AJ13355
NC_013956	Pantoea ananatis LMG 20103
NC_016816	Pantoea ananatis LMG 5342
NC_017554	Pantoea ananatis PA13
NC_014837	Pantoea sp. At-9b
NC_014562	Pantoea vagans C9-1
NC_009615	Parabacteroides distasonis ATCC 8503
NC_015702	Parachlamydia acanthamoebae UV-7
NC_009719	Parvibaculum lavamentivorans DS-1
NC_014414	Parvularcula bermudensis HTCC2503
NC_002663	Pasteurella multocida subsp. multocida str. Pm70
NC_004547	Pectobacterium atrosepticum SCRI1043
NC_012917	Pectobacterium carotovorum subsp. carotovorum PC1
NC_018525	Pectobacterium carotovorum subsp. carotovorum PCC21
NC_017845	Pectobacterium sp. SCC3193
