YP_003893546	307352495	NC_014507	Methanoplanus petrolearius DSM 11571| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoplanus.	Mpet_0334	340097..341023	"tetratricopeptide repeat-containing protein"
YP_303584	73667569	NC_007355	Methanosarcina barkeri str. Fusaro| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	Mbar_A0011	complement(10465..13881)	"hypothetical protein"
YP_008754834	556587235	NC_022664	Spiribacter sp. UAH-SP71| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Spiribacter.	SPICUR_07880	complement(1588426..1589952)	"hypothetical protein"
YP_005951603	386030828	NC_017538	Oligotropha carboxidovorans OM4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha.	OCA4_c26030	complement(2758623..2760353)	"TPR domain-containing protein"
NP_972897	42527799	NC_002967	Treponema denticola ATCC 35405| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TDE2297	complement(2336429..2337109)	"TPR"
YP_003085444	255034823	NC_013037	Dyadobacter fermentans DSM 18053| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Dyadobacter.	Dfer_1030	1211254..1212714	"hypothetical protein"
YP_007066404	427718410	NC_019682	Calothrix sp. PCC 7507| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal7507_3162	3621680..3622396	"hypothetical protein"
YP_007107891	428223794	NC_019703	Geitlerinema sp. PCC 7407| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Geitlerinema.	GEI7407_0336	complement(380208..386906)	"glycosyl transferase family protein"
YP_006736951	407458848			
YP_002434407	218783089	NC_011768	Desulfatibacillum alkenivorans AK-01| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfatibacillum.	Dalk_5269	6485932..6488382	"hypothetical protein"
YP_002729512	225849348	NC_012438	Sulfurihydrogenibium azorense Az-Fu1| Bacteria; Aquificae; Aquificales; Hydrogenothermaceae; Sulfurihydrogenibium.	SULAZ_1547	complement(1444465..1446135)	"hypothetical protein"
YP_002288371	209884514	NC_011386	Oligotropha carboxidovorans OM5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha.	OCAR_5374	1365157..1366956	"hypothetical protein"
YP_005668710	384456114	NC_017294	Candidatus Arthromitus sp. SFB-mouse-Yit| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus.	MOUSESFB_0992	1118951..1119313	"hypothetical protein"
YP_005847003	385810607	NC_017464	Ignavibacterium album JCM 16511| Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium.	IALB_2030	complement(2319949..2322768)	"Tetratricopeptide TPR_2 protein"
YP_474418	86605655	NC_007775	Synechococcus sp. JA-3-3Ab| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	CYA_0953	966736..967527	"hypothetical protein"
NP_662716	21674651	NC_002932	Chlorobium tepidum TLS| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobaculum.	CT1837	1739319..1739816	"hypothetical protein"
YP_005052270	374300631	NC_016629	Desulfovibrio africanus str. Walvis Bay| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	Desaf_2285	complement(2544562..2545983)	"response regulator receiver"
YP_002139319	197118892	NC_011146	Geobacter bemidjiensis Bem| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Gbem_2515	complement(2915268..2916065)	"hypothetical protein"
YP_001995986	193214787	NC_011026	Chloroherpeton thalassium ATCC 35110| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chloroherpeton.	Ctha_1075	1278645..1279811	"hypothetical protein"
YP_001320628	150390579	NC_009633	Alkaliphilus metalliredigens QYMF| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Alkaliphilus.	Amet_2819	complement(2835062..2835964)	"hypothetical protein"
YP_001684617	167646954	NC_010338	Caulobacter sp. K31| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter.	Caul_2992	complement(3251084..3252988)	"sulfotransferase"
YP_004409527	330834799	NC_015435	Metallosphaera cuprina Ar-4| Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Metallosphaera.	Mcup_0938	850370..852376	"hypothetical protein"
YP_002376200	218437871	NC_011729	Cyanothece sp. PCC 7424| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	PCC7424_0876	complement(980236..981159)	"hypothetical protein"
YP_532981	90424611	NC_007925	Rhodopseudomonas palustris BisB18| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas.	RPC_3120	3461687..3463990	"TPR repeat-containing protein"
NP_276697	15679580	NC_000916	Methanothermobacter thermautotrophicus str. Delta H| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter.	MTH1585	complement(1451827..1452882)	"O-linked GlcNAc transferase"
YP_003607100	295699207	NC_014118	Burkholderia sp. CCGE1002| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	BC1002_3561	complement(393047..397699)	"cellulose synthase operon C domain-containing protein"
YP_004182687	320107097	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_1887	complement(2259633..2260940)	"hypothetical protein"
YP_002730293	225850059	NC_012440	Persephonella marina EX-H1| Bacteria; Aquificae; Aquificales; Hydrogenothermaceae; Persephonella.	PERMA_0503	complement(456068..457747)	"hypothetical protein"
YP_006740154	406592975			
YP_002505524	220928615	NC_011898	Clostridium cellulolyticum H10| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	Ccel_1187	1450195..1451076	"hypothetical protein"
YP_007437772	449070692			
YP_006741199	406594486			
YP_001380120	153005795	NC_009675	Anaeromyxobacter sp. Fw109-5| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Anae109_2936	3406758..3407360	"hypothetical protein"
YP_004771568	342732729	NC_015913	Candidatus Arthromitus sp. SFB-mouse-Japan| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus.	SFBM_1062	1140615..1140977	"hypothetical protein"
YP_003356531	282164146	NC_013665	Methanocella paludicola SANAE| Archaea; Euryarchaeota; Methanomicrobia; Methanocellales; Methanocellaceae; Methanocella.	MCP_1476	complement(1478495..1479541)	"hypothetical protein"
YP_001381503	153007178	NC_009675	Anaeromyxobacter sp. Fw109-5| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Anae109_4341	complement(5076582..5078021)	"Zinc finger-domain-containing protein"
YP_003952441	310820083	NC_014623	Stigmatella aurantiaca DW4/3-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Cystobacteraceae; Stigmatella.	STAUR_2816	3405224..3405949	"hypothetical protein"
YP_007059448	427739904	NC_019678	Rivularia sp. PCC 7116| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Rivularia.	Riv7116_6574	complement(8305184..8306944)	"hypothetical protein"
YP_007110889	428226792	NC_019703	Geitlerinema sp. PCC 7407| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Geitlerinema.	GEI7407_3370	4120638..4121513	"hypothetical protein"
YP_004667602	338534268	NC_015711	Myxococcus fulvus HW-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	LILAB_23145	5505907..5506668	"social gliding motility protein Tgl"
NP_275215	15678100	NC_000916	Methanothermobacter thermautotrophicus str. Delta H| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter.	MTH72	complement(43227..44438)	"O-linked GlcNAc transferase"
YP_007978052	499080443	NC_021214	Thermotoga maritima MSB8| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Tmari_1703	1673296..1674369	"hypothetical protein"
YP_006973978	410858038			
YP_001066323	126451956	NC_009076	Burkholderia pseudomallei 1106a| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BURPS1106A_2058	complement(2040937..2045301)	"hypothetical protein"
YP_219482	62184697			
YP_844212	116747525	NC_008554	Syntrophobacter fumaroxidans MPOB| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophobacteraceae; Syntrophobacter.	Sfum_0074	complement(90604..92307)	"TPR repeat-containing protein"
YP_004086628	315497824	NC_014816	Asticcacaulis excentricus CB 48| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis.	Astex_0793	840447..841232	"hypothetical protein"
YP_008710771	554635127	NC_022600	Gloeobacter kilaueensis JS1| Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	GKIL_0818	856009..857877	"sulfotransferase"
YP_003799051	302038729	NC_014355	Candidatus Nitrospira defluvii| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira.	NIDE3440	complement(3425448..3427133)	"hypothetical protein"
YP_001456453	157149134	NC_009792	Citrobacter koseri ATCC BAA-895| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter.	CKO_04973	complement(4562510..4566094)	"cellulose synthase subunit BcsC"
NP_229495	15644443	NC_000853	Thermotoga maritima MSB8| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	TM1695	1673278..1674351	"hypothetical protein"
YP_522083	89899612	NC_007908	Albidiferax ferrireducens T118| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Rhodoferax.	Rfer_0802	838962..840050	"hypothetical protein"
YP_008745711	556575548	NC_022659	Burkholderia pseudomallei NCTC 13179| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BBK_3164	3635308..3639663	"glycosyltransferase 9 family protein"
YP_003996995	312129655	NC_014655	Leadbetterella byssophila DSM 17132| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Leadbetterella.	Lbys_0896	953849..955255	"tetratricopeptide tpr_1 repeat-containing protein"
YP_003205422	392373589	NC_013260	Candidatus Methylomirabilis oxyfera| Bacteria; candidate division NC10; Candidatus Methylomirabilis.	DAMO_0503	440910..442667	"TPR domain-containing protein"
YP_001959028	189499558	NC_010831	Chlorobium phaeobacteroides BS1| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cphamn1_0588	617790..619505	"hypothetical protein"
YP_008617352	549483659	NC_022526	Bacteroides sp. CF50| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	BRDCF_05955	complement(1386315..1387550)	"hypothetical protein"
YP_001820037	182414971	NC_010571	Opitutus terrae PB90-1| Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Opitutus.	Oter_3157	4107428..4109662	"hypothetical protein"
YP_001660909	166368636	NC_010296	Microcystis aeruginosa NIES-843| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Microcystis.	MAE_58950	complement(5431080..5432768)	"glycosyl transferase family protein"
YP_006422973	390959216	NC_018014	Terriglobus roseus DSM 18391| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	Terro_3423	4102651..4104747	"hypothetical protein"
YP_001961561	189910006	NC_010842	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'| Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Leptospira.	LBF_0440	459813..460484	"hypothetical protein"
NP_634744	21228822	NC_003901	Methanosarcina mazei Go1| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	MM_2720	3252433..3255822	"hypothetical protein"
YP_004862721	347755157	NC_016024	Candidatus Chloracidobacterium thermophilum B| Bacteria; Acidobacteria; Candidatus Chloracidobacterium.	Cabther_A1455	1733793..1734614	"hypothetical protein"
YP_003804836	302339630	NC_014364	Spirochaeta smaragdinae DSM 11293| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta.	Spirs_3144	3367716..3368870	"hypothetical protein"
YP_004440079	332298157	NC_015500	Treponema brennaborense DSM 12168| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Trebr_1525	complement(1801202..1801849)	"hypothetical protein"
YP_007169631	428777844	NC_019779	Halothece sp. PCC 7418| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Halothece cluster; Halothece.	PCC7418_3302	3555903..3557306	"hypothetical protein"
YP_007359851	442319830	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_02851	complement(3616310..3617371)	"hypothetical protein"
YP_005593646	384207926	NC_017243	Brachyspira intermedia PWS/A| Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	Bint_0432	complement(471823..473295)	"hypothetical protein"
YP_004217042	322434830	NC_015064	Granulicella tundricola MP5ACTX9| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	AciX9_1199	1411441..1413513	"hypothetical protein"
YP_001018396	124024089	NC_008820	Prochlorococcus marinus str. MIT 9303| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	P9303_23981	complement(2111100..2112863)	"hypothetical protein"
YP_550500	91789548	NC_007948	Polaromonas sp. JS666| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas.	Bpro_3702	3911727..3912227	"hypothetical protein"
YP_002896814	237812363	NC_012695	Burkholderia pseudomallei MSHR346| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	GBP346_A2111	complement(2074092..2078447)	"hypothetical protein"
YP_659858	109896603	NC_008228	Pseudoalteromonas atlantica T6c| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas.	Patl_0272	318844..319689	"thioredoxin domain-containing protein"
YP_007113312	428315430	NC_019729	Oscillatoria nigro-viridis PCC 7112| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	Osc7112_0267	complement(304466..305569)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_001018417	124024110	NC_008820	Prochlorococcus marinus str. MIT 9303| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	P9303_24191	complement(2129779..2131416)	"hypothetical protein"
